mavpackettype,TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
GPS,2132448798,0,3,459444600,2249,15,0.87,24.786936299999997,120.9934442,93.18,0.355856716632843,277.26483154296875,0.10400000214576721,0.0,1
GPS,2132648859,0,3,459444800,2249,15,0.87,24.786936299999997,120.9934435,93.15,0.40012624859809875,265.70013427734375,0.2200000137090683,0.0,1
GPS,2132828827,0,3,459445000,2249,15,0.77,24.7869362,120.9934426,93.09,0.42673295736312866,266.64141845703125,0.18300001323223114,0.0,1
GPS,2133048807,0,3,459445200,2249,15,0.77,24.786935999999997,120.9934419,93.04,0.3085012435913086,258.216552734375,0.22100001573562622,0.0,1
GPS,2133248788,0,3,459445400,2249,15,0.77,24.7869359,120.9934413,92.99,0.2985649108886719,261.1371154785156,0.17500001192092896,0.0,1
GPS,2133448821,0,3,459445600,2249,15,0.77,24.7869356,120.9934407,92.95,0.3935708701610565,240.6343231201172,0.09200000762939453,0.0,1
GPS,2133648818,0,3,459445800,2249,15,0.77,24.7869353,120.9934401,92.92,0.3234022557735443,232.91751098632812,0.12600000202655792,0.0,1
GPS,2133848893,0,3,459446000,2249,15,0.77,24.786934799999997,120.99343959999999,92.86,0.2745906114578247,227.3613739013672,0.12800000607967377,0.0,1
GPS,2134048823,0,3,459446200,2249,15,0.77,24.7869344,120.9934392,92.84,0.28780028223991394,225.42233276367188,0.1340000033378601,0.0,1
GPS,2134228854,0,3,459446400,2249,15,0.77,24.786934,120.99343879999999,92.78,0.3150825500488281,222.04127502441406,0.09800000488758087,0.0,1
GPS,2134448820,0,3,459446600,2249,15,0.77,24.786933599999998,120.99343839999999,92.77,0.2928566336631775,220.7073974609375,0.1290000081062317,0.0,1
GPS,2134648830,0,3,459446800,2249,15,0.77,24.7869332,120.993438,92.74,0.242243692278862,221.65318298339844,0.13500000536441803,0.0,1
GPS,2134848805,0,3,459447000,2249,15,0.77,24.7869329,120.9934378,92.71000000000001,0.17557336390018463,214.3236541748047,0.09000000357627869,0.0,1
GPS,2135048862,0,3,459447200,2249,15,0.77,24.7869326,120.9934377,92.67,0.11882761120796204,226.36392211914062,0.03200000151991844,0.0,1
GPS,2135248826,0,3,459447400,2249,15,0.77,24.7869325,120.9934375,92.64,0.06184658780694008,255.96377563476562,0.026000000536441803,0.0,1
GPS,2135448797,0,3,459447600,2249,15,0.77,24.786932399999998,120.99343739999999,92.62,0.09803061187267303,288.4349365234375,0.004000000189989805,0.0,1
GPS,2135628850,0,3,459447800,2249,15,0.77,24.7869325,120.99343719999999,92.61,0.09762172400951385,353.5301818847656,-0.01100000087171793,0.0,1
GPS,2135848819,0,3,459448000,2249,15,0.77,24.7869328,120.99343719999999,92.60000000000001,0.19382983446121216,347.1826171875,0.0010000000474974513,0.0,1
GPS,2136048826,0,3,459448200,2249,15,0.77,24.7869331,120.9934371,92.60000000000001,0.18613168597221375,349.4748840332031,-0.021000001579523087,0.0,1
GPS,2136248812,0,3,459448400,2249,15,0.77,24.7869335,120.993437,92.61,0.26009422540664673,1.5422059297561646,-0.03100000135600567,0.0,1
GPS,2136448829,0,3,459448600,2249,15,0.77,24.786934,120.99343689999999,92.63,0.26154157519340515,344.47589111328125,-0.12700000405311584,0.0,1
GPS,2136648818,0,3,459448800,2249,15,0.77,24.7869344,120.99343669999999,92.65,0.26254525780677795,342.9454040527344,-0.09800000488758087,0.0,1
GPS,2136848822,0,3,459449000,2249,15,0.77,24.7869349,120.9934366,92.65,0.32679200172424316,339.95697021484375,-0.19300000369548798,0.0,1
GPS,2137048822,0,3,459449200,2249,15,0.77,24.7869353,120.9934363,92.68,0.19936148822307587,310.32073974609375,-0.10300000756978989,0.0,1
GPS,2137248864,0,3,459449400,2249,15,0.77,24.7869355,120.99343599999999,92.7,0.2679179012775421,300.0101318359375,-0.18400001525878906,0.0,1
