date,Distance,Angle,Motion,Velocity,RSSI
247,12.1935857765743,0.557382430994488,1,0.179425951508108,190
248,12.2336208487782,0.545752433577493,1,0.0606873374858292,189
249,12.1997349440813,0.535007094346076,0,-0.0338859046968931,189
250,11.9612978525555,0.547842262907419,-1,-0.365844903517392,188
251,11.5538717620536,0.567448476347121,-1,-0.0511972389874256,186
252,11.7393622731516,0.555403135983567,1,0.185490511097951,186
253,11.9175776989203,0.55106671791688,1,0.178215425768714,186
254,11.6563617320724,0.56998508569537,-1,-0.261215966847868,186
255,11.2729820874865,0.599440724765375,-1,-0.461483291468454,179
256,11.2092563316653,0.617484211848625,-1,-0.0637257558211921,173
257,11.2530853296676,0.609292595025466,0,0.0131323137135677,168
258,10.9449531646431,0.630207868972769,-1,-0.308132165024496,165
259,10.6114728242615,0.66525076661186,-1,-0.333480340381653,173
260,10.3452323434788,0.700684983272942,-1,-0.347026790652178,181
261,9.94439293496427,0.735192210862181,-1,-0.330268278775806,182
262,9.78292669857759,0.750220470096169,-1,-0.161466236386678,181
263,10.0266889340961,0.719808324634179,1,0.217394390574247,179
264,10.2684516267022,0.707008728489794,1,0.286770420782258,173
265,10.446350630629,0.703795422205069,1,0.14680762063588,170
266,10.4850400476252,0.705668818071961,1,0.0580778103269992,170
267,10.4940831113194,0.712465729521636,-1,-0.0958464904425682,175
268,10.6579273995651,0.710346846517562,1,0.163844288245704,176
269,10.9804131313403,0.692430085697033,1,0.322485731775224,175
270,14.4577651169638,0.512541688573554,1,0.782287961138804,174
271,15.0015426377896,0.480195406888339,1,0.543777520825826,175
272,15.1946570018508,0.466942537809039,1,0.193114364061145,175
273,15.2564255772407,0.466369654607449,1,0.0617685753899835,175
274,15.2125401518232,0.472246299907755,0,-0.0438854254175478,175
275,15.0444838652174,0.483207826748101,-1,-0.168056286605811,175
276,14.9471721732291,0.491173659499939,-1,-0.137412113183759,175
277,14.8620865066298,0.495767736327965,-1,-0.0606040484192203,173
278,14.9120780227108,0.49167204988564,0,0.0499915160809792,171
279,14.9989824379515,0.491594332581085,1,0.0981242044102615,171
280,14.9683434920895,0.486634365878274,0,-0.032489114703921,169
281,14.8503305928893,0.47185047696094,-1,-0.11801289920016,169
282,14.7061723430636,0.455544469588487,-1,-0.18186688659658,169
283,14.53225404392,0.417312797129472,-1,-0.120270442075997,164
284,14.3102844903193,0.377895646714982,-1,-0.284218310821313,165
285,14.0557733869251,0.340194782726983,-1,-0.312690220220773,166
286,13.9200197563178,0.306500107437151,-1,-0.135753630607301,166
287,13.7849755652257,0.259711073723659,-1,-0.123572916164393,164
288,13.6963851019282,0.226816651843342,-1,-0.0885904632974803,170
289,13.5533242326017,0.170525311549417,0,-0.0374281384876962,171
290,13.5372620887801,0.168481263273827,0,-0.0160621438215998,169
291,13.5356823034782,0.167002502627235,0,-0.00157978530187641,167
292,13.5469717621075,0.164616737743047,0,0.0112894586292871,167
293,13.5585399190524,0.161485214052768,0,0.0115681569449464,167
294,13.5750560653291,0.160540733493478,0,0.0165161462766505,167
295,13.5998027813495,0.159501275718854,0,0.0165925534356237,167
296,13.6051342194245,0.157205259227932,0,0.0150837667702906,167
297,13.6047051977651,0.154234085233493,0,0.00741040768640211,167
298,13.6051306932248,0.153485419831502,0,-0.00736946135947392,167
299,13.6235422597757,0.15327635065269,0,0.0184115665508937,167
300,13.6200231229707,0.14960268615976,0,-0.00351913680497162,167
301,13.6270860501584,0.145815026327127,0,-0.00998297482007793,167
302,13.618017314195,0.144428569447574,0,-0.0105253158304759,167
303,13.6095112171494,0.140065775948735,0,-0.00707042325196028,167
304,13.6088050253658,0.136363621131958,0,-0.000706191783569565,167
305,7.98878731791996,0.00500703868370578,-1,-5.61794614642461,182
306,8.02900483669434,0.00124548468817405,0,0.0402175187743774,182
307,8.05495157748281,0.00124147271061236,0,0.0259467407884681,182
308,8.07522081608921,0,0,0.0202692386063976,182
309,8.095629637485,-0.00370571160057704,0,0.0204088213957974,182
310,8.10514844315281,-0.00987042983617202,0,0.00951880566780794,182
311,8.1309210274634,-0.0196792377136712,0,0.0102937965913554,182
312,8.13834088671849,-0.0245775077909482,0,0.00741985925508715,182
313,8.17278904219042,-0.024473893315717,0,0.0119965759664513,182
314,8.18998783972835,-0.0219798243562806,0,0.0171987975379331,183
315,8.20874517484668,-0.0182742119289417,0,0.00685358006056802,183
316,8.22443384952367,-0.0158072174140797,0,0.00682297718028657,183
317,8.25080912480595,-0.013332420762224,0,0.0263752752822715,183
318,8.26847404532544,-0.0120944248493699,0,0.0264172003761711,183
