mavpackettype,TimeUS,RSSI,RemRSSI,TxBuf,Noise,RemNoise,RxErrors,Fixed
RAD,1250031662,164,155,84,29,57,0,0
RAD,1250031775,164,155,84,29,57,0,0
RAD,1250898896,164,155,100,30,61,0,0
RAD,1250898983,164,155,100,30,61,0,0
RAD,1251981671,165,159,94,47,42,0,0
RAD,1251981696,165,159,94,47,42,0,0
RAD,1253026298,167,159,86,27,32,0,0
RAD,1253026367,167,159,86,27,32,0,0
RAD,1254946808,173,159,94,36,71,0,0
RAD,1254946833,173,159,94,36,71,0,0
RAD,1255971359,173,160,94,39,90,0,0
RAD,1255971384,173,160,94,39,90,0,0
RAD,1257041334,173,167,81,44,75,0,0
RAD,1257041386,173,167,81,44,75,0,0
RAD,1258009435,173,158,91,53,95,0,0
RAD,1258009513,173,158,91,53,95,0,0
RAD,1259019204,173,164,88,44,78,0,0
RAD,1259019230,173,164,88,44,78,0,0
RAD,1260031696,173,169,84,31,47,0,0
RAD,1260031755,173,169,84,31,47,0,0
RAD,1261938853,171,166,96,44,51,0,0
RAD,1261938916,171,166,96,44,51,0,0
RAD,1263019220,170,164,88,26,58,0,0
RAD,1263019246,170,164,88,26,58,0,0
RAD,1263944294,170,160,94,45,49,0,0
RAD,1263944319,170,160,94,45,49,0,0
RAD,1265041379,171,163,81,30,61,0,0
RAD,1265041405,171,163,81,30,61,0,0
RAD,1265971691,170,162,94,35,74,0,0
RAD,1265971726,170,162,94,35,74,0,0
RAD,1266938854,170,161,96,38,69,0,0
RAD,1266938941,170,161,96,38,69,0,0
RAD,1267923820,170,161,96,38,73,0,0
RAD,1267923845,170,161,96,38,73,0,0
RAD,1269060346,170,162,75,44,59,0,0
RAD,1269060371,170,162,75,44,59,0,0
RAD,1271957788,169,159,94,39,56,0,0
RAD,1271957813,169,159,94,39,56,0,0
RAD,1273031699,170,158,84,40,76,0,0
RAD,1273031724,170,158,84,40,76,0,0
RAD,1273957743,172,160,94,45,85,0,0
RAD,1273957822,172,160,94,45,85,0,0
RAD,1274973923,172,165,94,61,76,0,0
RAD,1274973956,172,165,94,61,76,0,0
RAD,1275957758,172,164,94,36,69,0,0
RAD,1275957784,172,164,94,36,69,0,0
RAD,1276938828,174,158,96,42,74,0,0
RAD,1276938854,174,158,96,42,74,0,0
RAD,1277961356,175,162,94,46,85,0,0
RAD,1277961415,175,162,94,46,85,0,0
RAD,1279060346,177,167,75,51,65,0,0
RAD,1279060374,177,167,75,51,65,0,0
RAD,1280031379,178,165,84,46,71,0,0
RAD,1280031527,178,165,84,46,71,0,0
RAD,1280955327,177,166,94,55,96,0,0
RAD,1280955426,177,166,94,55,96,0,0
RAD,1281951354,177,170,94,40,62,0,0
RAD,1281951435,177,170,94,40,62,0,0
RAD,1282963859,177,172,94,33,73,0,0
RAD,1282963919,177,172,94,33,73,0,0
RAD,1284018921,174,168,88,48,78,0,0
RAD,1284018946,174,168,88,48,78,0,0
RAD,1285063850,169,165,75,48,77,0,0
RAD,1285063875,169,165,75,48,77,0,0
RAD,1285960304,170,164,94,29,71,0,0
RAD,1285960351,170,164,94,29,71,0,0
RAD,1286938917,170,156,96,55,67,0,0
RAD,1286938942,170,156,96,55,67,0,0
RAD,1288031436,170,163,84,43,64,0,0
RAD,1288031467,170,163,84,43,64,0,0
RAD,1289938926,171,165,96,32,54,0,0
RAD,1289938990,171,165,96,32,54,0,0
RAD,1290957818,174,167,94,35,67,0,0
RAD,1290957917,174,167,94,35,67,0,0
RAD,1291996328,176,167,94,35,70,0,0
RAD,1291996387,176,167,94,35,70,0,0
RAD,1294948871,174,165,94,29,52,0,0
RAD,1294948896,174,165,94,29,52,0,0
RAD,1295952815,174,168,94,39,54,0,0
RAD,1295952847,174,168,94,39,54,0,0
RAD,1297968900,174,164,94,46,55,0,0
RAD,1297968972,174,164,94,46,55,0,0
RAD,1298968911,174,162,90,34,62,0,0
RAD,1298968969,174,162,90,34,62,0,0
RAD,1299969014,174,167,94,32,64,0,0
RAD,1299969060,174,167,94,32,64,0,0
RAD,1300958876,174,160,94,36,65,0,0
RAD,1300958902,174,160,94,36,65,0,0
RAD,1301971349,168,156,94,34,48,0,0
RAD,1301971470,168,156,94,34,48,0,0
RAD,1303923857,167,158,100,42,61,0,0
RAD,1303923919,167,158,100,42,61,0,0
RAD,1305101644,168,163,63,43,71,0,0
RAD,1305101755,168,163,63,43,71,0,0
RAD,1306939172,173,167,96,32,56,0,0
RAD,1306939197,173,167,96,32,56,0,0
RAD,1307981312,173,165,94,29,76,0,0
RAD,1307981436,173,165,94,29,76,0,0
RAD,1311955209,177,166,94,29,50,0,0
RAD,1311955234,177,166,94,29,50,0,0
RAD,1314014152,178,171,90,25,80,0,0
RAD,1314014179,178,171,90,25,80,0,0
RAD,1314952759,180,172,94,30,57,0,0
RAD,1314952784,180,172,94,30,57,0,0
RAD,1316029259,188,181,85,24,69,0,0
RAD,1316029284,188,181,85,24,69,0,0
RAD,1316952807,189,180,94,35,55,0,0
RAD,1316952833,189,180,94,35,55,0,0
RAD,1317933950,190,185,98,26,50,0,0
RAD,1317934019,190,185,98,26,50,0,0
RAD,1318956395,190,184,94,26,59,0,0
RAD,1318956421,190,184,94,26,59,0,0
RAD,1319933834,189,174,97,29,69,0,0
RAD,1319933913,189,174,97,29,69,0,0
RAD,1320936315,189,182,97,37,90,0,0
RAD,1320936344,189,182,97,37,90,0,0
RAD,1323955303,188,176,94,28,36,0,0
